거래소코드,label,pred,proba1,회사명,회계년도
009320,0.0,0,0.054524485,대우전자부품(주),2012/12
009410,1.0,1,0.89923364,(주)태영건설,2014/12
009420,0.0,0,0.04431258,한올바이오파마(주),2012/12
009460,1.0,1,0.9471753,(주)한창제지,2012/12
009470,1.0,1,0.94072145,삼화전기(주),2012/12
009520,0.0,0,0.06028024,(주)포스코엠텍,2013/12
009540,0.0,0,0.008902751,에이치디한국조선해양(주),2014/12
009580,1.0,1,0.96230984,무림피앤피(주),2014/12
009620,0.0,0,0.04504263,삼보산업(주),2013/12
009730,1.0,1,0.8608115,(주)코센,2012/12
009770,1.0,1,0.9615534,삼정펄프(주),2018/12
009810,0.0,0,0.062609665,(주)플레이그램,2012/12
009830,0.0,0,0.0718648,한화솔루션(주),2012/12
010060,0.0,0,0.026499305,오씨아이홀딩스(주),2013/12
010100,0.0,0,0.032412358,한국무브넥스(주),2017/12
010140,0.0,0,0.042671025,삼성중공업(주),2015/12
010170,0.0,0,0.079512745,대한광통신(주),2013/12
010280,0.0,0,0.06298071,쌍용정보통신(주),2014/12
010580,0.0,0,0.054395907,(주)에스엠벡셀,2012/12
010600,1.0,1,0.9753107,웰바이오텍(주),2014/12
010620,0.0,0,0.015437758,(주)현대미포조선,2013/12
010640,0.0,0,0.010533151,진양폴리우레탄(주),2016/12
010660,1.0,1,0.9104349,화천기계(주),2016/12
010690,0.0,0,0.037987143,(주)화신,2017/12
010770,0.0,0,0.044964608,평화홀딩스(주),2012/12
010820,0.0,0,0.048122548,퍼스텍(주),2016/12
010950,1.0,1,0.9569455,에쓰-오일(주),2014/12
011000,0.0,0,0.03334029,진원생명과학(주),2012/12
011070,1.0,1,0.9057088,LG이노텍(주),2012/12
011080,1.0,1,0.9552138,(주)형지아이앤씨,2012/12
011090,1.0,1,0.8906468,(주)에넥스,2012/12
011160,0.0,0,0.0028133604,두산건설(주),2012/12
011200,0.0,0,0.024995476,에이치엠엠(주),2012/12
011210,0.0,0,0.09247306,현대위아(주),2017/12
011230,0.0,0,0.02872862,삼화전자공업(주),2012/12
011280,1.0,1,0.9049515,태림포장(주),2015/12
011300,0.0,0,0.027123027,(주)성안,2012/12
011320,1.0,1,0.9458159,(주)유니크,2018/12
011330,0.0,0,0.0054287324,(주)유니켐,2012/12
011390,1.0,1,0.8144592,부산산업(주),2012/12
011420,1.0,1,0.96807456,(주)갤럭시아에스엠,2014/12
011560,1.0,1,0.9437999,(주)세보엠이씨,2019/12
011690,0.0,0,0.061352354,(주)와이투솔루션,2012/12
011720,0.0,0,0.007580089,현대페인트(주),2012/12
011810,0.0,0,0.031907875,(주)STX,2012/12
011930,0.0,0,0.0024830655,(주)신성이엔지,2012/12
012030,1.0,1,0.8729325,(주)디비아이엔씨,2014/12
012160,0.0,0,0.023297412,(주)영흥,2016/12
012170,0.0,0,0.014561981,(주)아센디오,2014/12
