거래소코드,회사명,회계년도,label,pred,proba1
009270,(주)신원,2012/12,1.0,1.0,0.98
009310,참엔지니어링(주),2012/12,1.0,1.0,0.66
009320,대우전자부품(주),2012/12,0.0,0.0,0.12
009410,(주)태영건설,2014/12,1.0,1.0,0.77
009420,한올바이오파마(주),2012/12,0.0,0.0,0.18
009440,케이씨그린홀딩스(주),2020/12,1.0,0.0,0.2
009460,(주)한창제지,2012/12,1.0,1.0,0.77
009470,삼화전기(주),2012/12,1.0,1.0,0.79
009520,(주)포스코엠텍,2013/12,0.0,0.0,0.22
009540,에이치디한국조선해양(주),2014/12,0.0,0.0,0.1
009580,무림피앤피(주),2014/12,1.0,1.0,0.96
009620,삼보산업(주),2013/12,0.0,0.0,0.17
009730,(주)코센,2012/12,1.0,1.0,0.64
009770,삼정펄프(주),2018/12,1.0,1.0,0.96
009810,(주)플레이그램,2012/12,0.0,0.0,0.09
009830,한화솔루션(주),2012/12,0.0,0.0,0.34
010060,오씨아이홀딩스(주),2013/12,0.0,0.0,0.12
010100,한국무브넥스(주),2017/12,0.0,0.0,0.09
010140,삼성중공업(주),2015/12,0.0,0.0,0.07
010170,대한광통신(주),2013/12,0.0,0.0,0.12
010280,쌍용정보통신(주),2014/12,0.0,0.0,0.18
010400,(주)우진아이엔에스,2021/12,0.0,1.0,0.57
010580,(주)에스엠벡셀,2012/12,0.0,0.0,0.06
010600,웰바이오텍(주),2014/12,1.0,1.0,0.95
010620,(주)현대미포조선,2013/12,0.0,0.0,0.13
010640,진양폴리우레탄(주),2016/12,0.0,0.0,0.12
010660,화천기계(주),2016/12,1.0,1.0,0.83
010690,(주)화신,2017/12,0.0,0.0,0.12
010770,평화홀딩스(주),2012/12,0.0,0.0,0.17
010820,퍼스텍(주),2016/12,0.0,0.0,0.19
010950,에쓰-오일(주),2014/12,1.0,1.0,0.84
011000,진원생명과학(주),2012/12,0.0,0.0,0.06
011070,LG이노텍(주),2012/12,1.0,1.0,0.97
011080,(주)형지아이앤씨,2012/12,1.0,1.0,0.74
011090,(주)에넥스,2012/12,1.0,1.0,0.77
011160,두산건설(주),2012/12,0.0,0.0,0.04
011200,에이치엠엠(주),2012/12,0.0,0.0,0.06
011210,현대위아(주),2017/12,0.0,0.0,0.22
011230,삼화전자공업(주),2012/12,0.0,0.0,0.07
011280,태림포장(주),2015/12,1.0,1.0,0.73
011300,(주)성안,2012/12,0.0,0.0,0.19
011320,(주)유니크,2018/12,1.0,1.0,0.97
011330,(주)유니켐,2012/12,0.0,0.0,0.02
011390,부산산업(주),2012/12,1.0,1.0,0.8
011420,(주)갤럭시아에스엠,2014/12,1.0,1.0,0.84
011560,(주)세보엠이씨,2019/12,1.0,1.0,0.97
011690,(주)와이투솔루션,2012/12,0.0,0.0,0.21
011720,현대페인트(주),2012/12,0.0,0.0,0.02
011810,(주)STX,2012/12,0.0,0.0,0.11
011930,(주)신성이엔지,2012/12,0.0,0.0,0.06
012030,(주)디비아이엔씨,2014/12,1.0,1.0,0.9
012160,(주)영흥,2016/12,0.0,0.0,0.17
012170,(주)아센디오,2014/12,0.0,0.0,0.03
012280,영화금속(주),2018/12,0.0,0.0,0.22
012320,(주)경동인베스트,2015/12,1.0,1.0,0.96
012340,(주)뉴인텍,2012/12,0.0,0.0,0.04
012450,한화에어로스페이스(주),2014/12,0.0,0.0,0.14
012600,(주)청호ICT,2012/12,0.0,0.0,0.15
012610,(주)경인양행,2020/12,1.0,1.0,0.6
012630,에이치디씨(주),2013/12,1.0,1.0,0.87
012650,쌍용건설(주),2012/12,0.0,0.0,0.02
012690,(주)모나리자,2018/12,1.0,1.0,0.96
012800,(주)대창,2012/12,0.0,0.0,0.19
012860,(주)모베이스전자,2017/12,0.0,0.0,0.11
013310,아진산업(주),2018/12,1.0,1.0,0.76
013360,일성건설(주),2012/12,1.0,1.0,0.83
013520,(주)화승코퍼레이션,2020/12,0.0,1.0,0.65
013580,계룡건설산업(주),2013/12,0.0,0.0,0.1
013700,(주)까뮤이앤씨,2012/12,0.0,0.0,0.09
013720,씨비아이(주),2016/12,0.0,0.0,0.13
013810,(주)스페코,2013/12,1.0,1.0,0.91
013870,지엠비코리아(주),2020/12,1.0,1.0,0.51
013990,(주)아가방앤컴퍼니,2014/12,0.0,0.0,0.16
014100,메디앙스(주),2012/12,0.0,0.0,0.35
014160,대영포장(주),2017/12,1.0,1.0,0.93
014190,(주)원익큐브,2012/12,0.0,0.0,0.18
014200,(주)광림,2014/12,0.0,0.0,0.25
014280,금강공업(주),2019/12,0.0,0.0,0.1
014350,(주)신일건업,2012/12,0.0,0.0,0.1
014470,(주)부방,2017/12,1.0,1.0,0.94
014620,(주)성광벤드,2017/12,0.0,0.0,0.2
014790,에이치엘디앤아이한라(주),2012/12,0.0,0.0,0.11
014910,성문전자(주),2012/12,0.0,0.0,0.1
