거래소코드,회사명,회계년도,label,pred,proba1
007810,(주)코리아써키트,2018/12,1.0,1,0.9208144
007820,(주)에스엠코어,2016/12,1.0,1,0.9423728
007860,(주)서연,2017/12,0.0,0,0.061062913
007980,태평양물산(주),2012/12,1.0,1,0.92539066
008040,사조동아원(주),2012/12,0.0,0,0.03342062
008060,(주)대덕,2020/12,1.0,0,0.104560606
008290,원풍물산(주),2014/12,1.0,1,0.9140336
008350,(주)남선알미늄,2012/12,1.0,1,0.8932259
008420,문배철강(주),2012/12,1.0,1,0.9298172
008470,(주)부-스타,2021/12,0.0,1,0.5173568
008500,일정실업(주),2017/12,0.0,0,0.09972285
008600,(주)윌비스,2012/12,1.0,1,0.84403306
008700,아남전자(주),2012/12,0.0,0,0.073792174
008770,(주)호텔신라,2020/12,1.0,0,0.07140986
008800,(주)행남사,2012/12,1.0,1,0.9031849
008830,대동기어(주),2012/12,0.0,0,0.05409989
008900,(주)티이씨앤코,2012/12,0.0,0,0.0063110627
008970,동양철관(주),2013/12,0.0,0,0.014918678
009140,경인전자(주),2017/12,0.0,0,0.05314651
009150,삼성전기(주),2014/12,1.0,1,0.9845516
009190,(주)대양금속,2012/12,0.0,0,0.0025029774
009200,무림페이퍼(주),2012/12,1.0,1,0.95921856
009270,(주)신원,2012/12,1.0,1,0.9968137
009310,참엔지니어링(주),2012/12,1.0,1,0.8853828
009320,대우전자부품(주),2012/12,0.0,0,0.04752325
009410,(주)태영건설,2014/12,1.0,1,0.8883036
009420,한올바이오파마(주),2012/12,0.0,0,0.057528753
009440,케이씨그린홀딩스(주),2020/12,1.0,0,0.103183836
009460,(주)한창제지,2012/12,1.0,1,0.9062927
009470,삼화전기(주),2012/12,1.0,1,0.94830376
009520,(주)포스코엠텍,2013/12,0.0,0,0.048479732
009540,에이치디한국조선해양(주),2014/12,0.0,0,0.01845079
009580,무림피앤피(주),2014/12,1.0,1,0.99068135
009620,삼보산업(주),2013/12,0.0,0,0.031540487
009730,(주)코센,2012/12,1.0,1,0.8619005
009770,삼정펄프(주),2018/12,1.0,1,0.9878341
009810,(주)플레이그램,2012/12,0.0,0,0.03334246
009830,한화솔루션(주),2012/12,0.0,0,0.059279736
010060,오씨아이홀딩스(주),2013/12,0.0,0,0.022505403
010100,한국무브넥스(주),2017/12,0.0,0,0.057131138
010140,삼성중공업(주),2015/12,0.0,0,0.03868387
010170,대한광통신(주),2013/12,0.0,0,0.04479582
010280,쌍용정보통신(주),2014/12,0.0,0,0.070302404
010400,(주)우진아이엔에스,2021/12,0.0,0,0.25353298
010580,(주)에스엠벡셀,2012/12,0.0,0,0.02867079
010600,웰바이오텍(주),2014/12,1.0,1,0.97079515
010620,(주)현대미포조선,2013/12,0.0,0,0.03326631
010640,진양폴리우레탄(주),2016/12,0.0,0,0.016703803
010660,화천기계(주),2016/12,1.0,1,0.9480447
010690,(주)화신,2017/12,0.0,0,0.05112945
010770,평화홀딩스(주),2012/12,0.0,0,0.01999712
010820,퍼스텍(주),2016/12,0.0,0,0.07427234
010950,에쓰-오일(주),2014/12,1.0,1,0.96921283
011000,진원생명과학(주),2012/12,0.0,0,0.086608075
011070,LG이노텍(주),2012/12,1.0,1,0.9596832
011080,(주)형지아이앤씨,2012/12,1.0,1,0.93710524
011090,(주)에넥스,2012/12,1.0,1,0.96393317
011160,두산건설(주),2012/12,0.0,0,0.0006484372
011200,에이치엠엠(주),2012/12,0.0,0,0.013945321
011210,현대위아(주),2017/12,0.0,0,0.095086776
011230,삼화전자공업(주),2012/12,0.0,0,0.03920641
011280,태림포장(주),2015/12,1.0,1,0.89201355
011300,(주)성안,2012/12,0.0,0,0.03641287
011320,(주)유니크,2018/12,1.0,1,0.98265505
011330,(주)유니켐,2012/12,0.0,0,0.0045459243
011390,부산산업(주),2012/12,1.0,1,0.9036274
011420,(주)갤럭시아에스엠,2014/12,1.0,1,0.95086896
011560,(주)세보엠이씨,2019/12,1.0,1,0.97885853
011690,(주)와이투솔루션,2012/12,0.0,0,0.05168775
011720,현대페인트(주),2012/12,0.0,0,0.008365737
011810,(주)STX,2012/12,0.0,0,0.039102096
011930,(주)신성이엔지,2012/12,0.0,0,0.00093829434
012030,(주)디비아이엔씨,2014/12,1.0,1,0.9528471
012160,(주)영흥,2016/12,0.0,0,0.030331662
012170,(주)아센디오,2014/12,0.0,0,0.014165053
012280,영화금속(주),2018/12,0.0,0,0.08348599
012320,(주)경동인베스트,2015/12,1.0,1,0.9720523
012340,(주)뉴인텍,2012/12,0.0,0,0.0047707893
012450,한화에어로스페이스(주),2014/12,0.0,0,0.09135734
012600,(주)청호ICT,2012/12,0.0,0,0.031792425
012610,(주)경인양행,2020/12,1.0,1,0.85495263
012630,에이치디씨(주),2013/12,1.0,1,0.94153184
012650,쌍용건설(주),2012/12,0.0,0,0.014856969
012690,(주)모나리자,2018/12,1.0,1,0.9849791
