거래소코드,label,pred,proba1,회사명,회계년도
010280,0.0,0.0,0.4871797281545013,쌍용정보통신(주),2014/12
010580,0.0,0.0,0.31066698681750754,(주)에스엠벡셀,2012/12
010600,1.0,1.0,0.6461782894036784,웰바이오텍(주),2014/12
010620,0.0,0.0,0.1835784114500113,(주)현대미포조선,2013/12
010640,0.0,0.0,0.3612137043845705,진양폴리우레탄(주),2016/12
010660,1.0,1.0,0.5194255111339326,화천기계(주),2016/12
010690,0.0,0.0,0.38176192407826526,(주)화신,2017/12
010770,0.0,0.0,0.40264709229303336,평화홀딩스(주),2012/12
010820,0.0,0.0,0.3486955186153728,퍼스텍(주),2016/12
010950,1.0,1.0,0.6702670945672169,에쓰-오일(주),2014/12
011000,0.0,0.0,0.17113152302725504,진원생명과학(주),2012/12
011070,1.0,0.0,0.4673577444596067,LG이노텍(주),2012/12
011080,1.0,0.0,0.21825820628091797,(주)형지아이앤씨,2012/12
011090,1.0,0.0,0.41768721133878545,(주)에넥스,2012/12
011160,0.0,0.0,0.05225123816630523,두산건설(주),2012/12
011200,0.0,0.0,0.07253011987744797,에이치엠엠(주),2012/12
011210,0.0,1.0,0.569987628981391,현대위아(주),2017/12
011230,0.0,0.0,0.12329694293001907,삼화전자공업(주),2012/12
011280,1.0,0.0,0.3224423022920284,태림포장(주),2015/12
011300,0.0,0.0,0.4107900658964827,(주)성안,2012/12
011320,1.0,0.0,0.395167963555256,(주)유니크,2018/12
011330,0.0,0.0,0.1832693500890661,(주)유니켐,2012/12
011390,1.0,0.0,0.2871623727999423,부산산업(주),2012/12
011420,1.0,0.0,0.4560087369005632,(주)갤럭시아에스엠,2014/12
011560,1.0,1.0,0.6529295391763023,(주)세보엠이씨,2019/12
011690,0.0,1.0,0.5029340746017971,(주)와이투솔루션,2012/12
011720,0.0,0.0,0.1275889975258449,현대페인트(주),2012/12
011810,0.0,0.0,0.1426181019816205,(주)STX,2012/12
011930,0.0,0.0,0.15288862743465503,(주)신성이엔지,2012/12
012030,1.0,0.0,0.17636318609130017,(주)디비아이엔씨,2014/12
012160,0.0,0.0,0.3545330972888045,(주)영흥,2016/12
012170,0.0,0.0,0.14052975120902378,(주)아센디오,2014/12
012280,0.0,0.0,0.4351803474135688,영화금속(주),2018/12
012320,1.0,0.0,0.4151670728573263,(주)경동인베스트,2015/12
012340,0.0,0.0,0.22567415474021887,(주)뉴인텍,2012/12
